id,title,cost,shopAddress,distanceInfo,distance,score,shopName,tagId,tagName,like
401690966,0元体验产后项目三选一成为这个夏天最美的妈妈,0,金海路25-38号中熙香缇湾花园2栋1010铺,28km,28260,35,悦己产后修复中心,0,,0
427568312,周末带宝宝去哪玩？来这里！让宝宝玩到不想走！,0,宝安中心裕安一路30482栋A座,25km,25477,0,纽诺艾玛国际日托中心,0,,0
2053702698,儿童纯真0元试拍,0,创业二路华联城市全景花园1栋18-19商铺,23km,23267,35,悦月时光BMommy母婴艺术摄影,0,,0
1340778560,免费上门量尺、搭配纯进口顶级瓷砖铺贴方案,0,桂庙路万象新园国安居三楼C059,22km,22102,50,意大利普纳尼亚陶瓷,0,,0
336140413,暑假去哪儿？到晓东西体验托班艺术课堂半日旅,0,后海滨路君汇新天101-106号,21km,21768,45,OXWOOD 晓东西国际日托中心,0,,0
1694036692,2019夏季高爵婚礼沙龙,0,黄阁路招商依山郡1栋1单元1A,19km,19073,40,高爵婚礼,0,,0
906174826,新店开业0元抢产后恢复项目五选一体验产后妈妈首选,0,留仙大道112号,18km,18848,35,慧康母婴健康生活馆,0,,0
2146437,【产后恢复】0元专业盆底肌筛查加1次盆底肌恢复体验,0,国际市长交流中心1128,17km,17787,35,美加一产后恢复中心,0,,0
1450610808,软装设计师免费上门一对一搭配设计测量尺寸,0,深南大道9039号博耐家具广场2楼a2081,17km,17760,45,雅利斯窗帘,0,,0
1863082776,2019夏季婚礼沙龙《万里挑怡》,0,北环大道方大城2号楼806室,16km,16745,40,好百年婚礼策划中心,0,,0
203233951,揭秘当代主流全案定制及础施工注意事项,0,文昌街华侨城创意园北区C3栋405,15km,15126,50,永安设计·匠心质造品味设计,0,,0
1446427727,0元萌宝体验拍摄,0,建设路淘金地大厦D座111室,14km,14425,40,Happy小精灵儿童摄影,0,,0
932850887,液压机械怪兽《3至12岁亲子主题科学探索实验》,0,民塘路521号ATMALL购物中心二层,14km,14051,40,狮子星球3-12岁科学探索实验,0,,0
2052402736,0元享瑞德启蒙凉爽夏日萌趣艺术节,0,东环二路8号ico时尚购物领地3楼L3S-006A／B,13km,13341,40,瑞德启蒙教育,0,,0
622580053,0元免费试穿欧美婚纱礼服品牌并赠送精美试纱照,0,市花路21号富林物流大厦A栋618,12km,12008,45,OlegCassini婚纱,0,,0
775810826,清凉夏日免费畅游,0,深圳福田区红荔西路7077号聚豪园豪情阁裙楼103A,9.7km,9748,35,香港3861婴儿游泳馆,0,,0
905092089,【体验劵】产后腰痛、腹直肌、盆底肌调理三选一免费抢,0,商报东路19号天健名苑B座27E,9.5km,9450,35,芳泽产后恢复中心,0,,0
1662488241,【0元试穿网红店高定婚纱礼服】并赠精美试纱照,0,中心五路星河中心商场1-2层,8.9km,8886,45,LadyMarry婚纱,0,,0
1892008466,《秦岚同款场景免费拍》韩国艺匠全新系列大片抢先体验,0,华强北路圣廷苑酒店,5.6km,5630,40,韩国艺匠ARTIZ STUDIO,0,,0
1275070112,结婚证登记照免费拍摄并赠送精修1张,0,振兴路2号上步工贸大厦首层,5.2km,5172,35,蒙娜丽莎婚纱摄影,0,,0
1160154454,【0元试衣】瑞衣箱西装租赁邀您探店,30,金中环商务大厦B座909室,8.8km,8773,0,瑞衣箱·西装租赁全国连锁,0,,0
129487643,COMEBUY甘杯双人饮品免费抽,31,坂田街道雅宝路1号星河WORLDCOCOPark四楼,8.3km,8317,45,COMEBUY甘杯,0,,0
1510476096,赵记传承牛奶甜品40元代金券免费抽,40,民塘路玖龙荟商场L1层,9.8km,9841,40,赵记传承牛奶甜品,0,,0
592070655,【体验券】我是酸奶君招牌双人饮品免费抽,41,布吉街道翔鸽路2号布吉万象汇L1层Y120号,2.0km,1973,40,我是酸奶君,0,,0
1357674912,COLMAR科尔马双人套餐免费抽,46,创业路南油路2001号,22km,22494,35,COLMAR科尔马,0,,0
840496370,夏·里木(海岸城店)双人果汁饮品免费抽,47,文心四路海岸城购物中心负一楼033号商铺,21km,21518,35,夏·里木,0,,0
637792080,【体验券】舞茶道(石岩店)双人饮品小吃免费抽,52,石岩街道浪心社区石岩村第一工业区第五栋109,23km,23721,35,舞茶道,0,,0
1184633722,Teart Research Lab招牌饮品6选2免费抽,52,文心五路海岸城东座202室,21km,21271,35,Teart Research Lab,0,,0
1840318477,深夜豆浆勾魂双人豆浆套餐免费抽,52,福田区中康路黄祠巷16号,7.9km,7897,35,深夜豆浆,0,,0
100913787,卤人甲(保利店)双人套餐免费抽,57,文心六路后海滨路海岸城保利文化广场A2-25,21km,21152,40,卤人甲,0,,0
731723847,亲爱的麻辣烫60元代金券免费抽,60,龙华区ICO购物广场二楼L2C-050B-1,13km,13303,40,亲爱的麻辣烫,0,,0
